primary,PN_primary,direction_primary,best_outcome_blind,jaccard,PN_ob,direction_ob,direction_agrees
7d-1,1.6357129875184244,higher-risk,ob-7d-4,0.7551020408163265,1.6345374841138118,higher-risk,True
7d-2,1.620252562305585,higher-risk,ob-7d-4,0.16666666666666666,1.6345374841138118,higher-risk,True
7d-3,0.5727372983889233,lower-risk,ob-7d-3,0.5355371900826447,0.5168851012961472,lower-risk,True
7d-4,1.231730214005094,higher-risk,ob-7d-1,0.9972602739726028,1.2356250815217993,higher-risk,True
7d-5,0.500706419184231,lower-risk,ob-7d-6,0.6058174523570712,0.5500483051203428,lower-risk,True
7d-6,1.5195864752695174,higher-risk,ob-7d-2,0.8282758620689655,1.4930440317091302,higher-risk,True
PCA-1,0.7746004326458605,lower-risk,ob-PCA-4,0.5696530295183843,0.8929119538030547,ns/intermediate,False
PCA-2,0.653198041540174,lower-risk,ob-PCA-3,0.8135593220338984,0.6927043516612761,lower-risk,True
PCA-3,1.3391406418214187,higher-risk,ob-PCA-4,0.2190280629705681,0.8929119538030547,ns/intermediate,False
