cluster,posN,negN,PN,OR,lo,hi,OR_attadj,PN_comp,posN_comp,negN_comp,PN_tn_pub,posN_lfl,negN_lfl,PN_tn_lfl,OR_within,q,q_attadj,q_comp,q_tn_pub,q_tn_lfl,p_within
7d-1,529,618,1.6357129875184244,1.7528063616122471,1.4223241194517016,2.1600773686469794,1.6720982385223169,1.9511818027787193,287,390,1.3838706608782883,48,136,1.305990286022666,2.0574397035528222,3.1548619731492097e-07,2.810600159677509e-05,3.828408215847829e-08,0.11956647903886107,0.32594749471869444,3.378738127615831e-16
7d-2,262,309,1.620252562305585,1.6720226073275428,1.384694884305231,2.018971566300769,1.3709402458036322,1.4540109421628533,102,186,1.2428501421150642,24,75,1.1840978593272171,1.6612330654837044,2.7376894721920433e-07,0.0014497023484966395,0.005867340074691148,0.16820416258660464,0.46483797585465614,4.774658933881329e-06
7d-3,107,357,0.5727372983889233,0.558858394602589,0.44279020686094184,0.7053514291382419,0.601084254217686,0.5179949382968172,59,302,0.5075762030775262,9,75,0.44403669724770645,0.5302569703076927,1.735508664253556e-06,3.9618291647383326e-05,1.834813171465925e-05,0.0003071116942329938,0.06904038189036363,3.572322067555735e-06
7d-4,428,664,1.231730214005094,1.2650906349920734,1.09207223732827,1.465520558108979,1.2741923599707878,1.4343810933776269,231,427,1.2280069429294989,38,124,1.1339646838315083,1.1242509554656006,0.001725423085229505,0.002061617333866151,0.00027658445405607683,0.161851027945362,0.5443300025011792,0.15389089935588574
7d-5,207,790,0.500706419184231,0.46834769306376706,0.39126494190383987,0.5606164470827071,0.5002495441693672,0.5078095284199752,122,637,0.4518158679421245,23,163,0.5221290407309431,0.3488932217646818,1.2291540484737663e-15,3.4874335475515105e-13,2.4069914466153596e-09,1.7354831848808026e-09,0.033702006931861934,4.6481688990591626e-27
7d-6,532,669,1.5195864752695174,1.615933636246737,1.4061073652373526,1.8570712175402202,1.2935916200664404,1.1987542066069483,203,449,1.7051688560068448,58,111,1.9334931261536765,1.6784249910280822,6.088724986596475e-11,0.0006243991970571679,0.039430889010135695,7.571821698884442e-06,0.003068469717996687,7.567398469322052e-11
PCA-1,908,2240,0.7746004326458605,0.6925054438141494,0.5795115414760945,0.8275310419024925,0.7804082778050805,0.8465504304997362,568,1779,0.8369071577545769,91,386,0.8723518879434645,0.770505746284078,6.785069084324701e-05,0.0059371138138513135,0.01905810434105676,0.161851027945362,0.46483797585465614,9.00003729132917e-05
PCA-2,161,471,0.653198041540174,0.635964981258716,0.5226706921761366,0.7738169815940273,0.6950158988970908,0.6824060185895997,96,373,0.8067635451047953,12,71,0.6254037989404316,0.6100891435816014,9.202136282500768e-06,0.0005339420292517699,0.0017128825339839664,0.161851027945362,0.31632552188313706,1.4023908568525531e-05
PCA-3,267,381,1.3391406418214187,1.3680336065201708,1.1522107764759504,1.6242826284724037,1.4205300363294542,1.442690787768852,148,272,1.3767050611712666,24,69,1.2870628905730621,1.3255116281765325,0.0003903789608425751,0.00018196708773052586,0.0005755696364649444,0.06192985699357218,0.37690709960162105,0.0073581212182215906
