cluster,branch,posN,negN,PN,OR,lo,hi,p,q,label
7d-1,7d,529,618,1.6357129875184244,1.7528063616122471,1.4223241194517016,2.1600773686469794,1.4021608769552042e-07,3.1548619731492097e-07,Higher-risk
7d-2,7d,262,309,1.620252562305585,1.6720226073275428,1.384694884305231,2.018971566300769,9.125631573973477e-08,2.7376894721920433e-07,Higher-risk
7d-3,7d,107,357,0.5727372983889233,0.558858394602589,0.44279020686094184,0.7053514291382419,9.641714801408644e-07,1.735508664253556e-06,Lower-risk
7d-4,7d,428,664,1.231730214005094,1.2650906349920734,1.09207223732827,1.465520558108979,0.001725423085229505,0.001725423085229505,Higher-risk
7d-5,7d,207,790,0.500706419184231,0.46834769306376706,0.39126494190383987,0.5606164470827071,1.3657267205264068e-16,1.2291540484737663e-15,Lower-risk
7d-6,7d,532,669,1.5195864752695174,1.615933636246737,1.4061073652373526,1.8570712175402202,1.3530499970214388e-11,6.088724986596475e-11,Higher-risk
PCA-1,PCA,908,2240,0.7746004326458605,0.6925054438141494,0.5795115414760945,0.8275310419024925,5.2772759544747676e-05,6.785069084324701e-05,Lower-risk
PCA-2,PCA,161,471,0.653198041540174,0.635964981258716,0.5226706921761366,0.7738169815940273,6.134757521667179e-06,9.202136282500768e-06,Lower-risk
PCA-3,PCA,267,381,1.3391406418214187,1.3680336065201708,1.1522107764759504,1.6242826284724037,0.0003470035207489556,0.0003903789608425751,Higher-risk
