cluster,branch,posN,negN,PN,OR,lo,hi,p,q,label
7d-1,7d,529,618,1.6357129875184244,1.7528063616122471,1.4223241194517016,2.1600773686469794,1.4021608769552042e-07,3.1548619731492097e-07,Higher-risk
7d-2,7d,262,309,1.620252562305585,1.6720226073275428,1.384694884305231,2.018971566300769,9.125631573973477e-08,2.7376894721920433e-07,Higher-risk
7d-3,7d,107,357,0.5727372983889233,0.558858394602589,0.44279020686094184,0.7053514291382419,9.641714801408644e-07,1.735508664253556e-06,Lower-risk
7d-4,7d,428,664,1.231730214005094,1.2650906349920734,1.09207223732827,1.465520558108979,0.001725423085229505,0.0025881346278442577,Higher-risk
7d-5,7d,207,790,0.500706419184231,0.46834769306376706,0.39126494190383987,0.5606164470827071,1.3657267205264068e-16,1.2291540484737663e-15,Lower-risk
7d-6,7d,532,669,1.5195864752695174,1.615933636246737,1.4061073652373526,1.8570712175402202,1.3530499970214388e-11,6.088724986596475e-11,Higher-risk
PCA-1,PCA,597,1452,0.7856834766634024,0.7400533181640875,0.5960485846729342,0.9188494492042127,0.0064000972328491605,0.0074866873571634044,Lower-risk
PCA-2,PCA,651,1404,0.8860409331594278,0.8590637140636915,0.7463365790121391,0.9888172247938294,0.03428574733055955,0.03428574733055955,ns
PCA-3,PCA,88,236,0.7125421735381917,0.7049067105956046,0.5475712451170984,0.9074498982072272,0.006654833206367471,0.0074866873571634044,Lower-risk
