tag,subj,mech,sev,C::stance_frac_l,C::step_time_l,C::step_time_cv_l,C::stance_frac_r,C::step_time_r,C::step_time_cv_r,C::stance_asym,C::step_time_asym,C::speed,G::vgrf_peak_l,G::vgrf_mean_l,G::brake_imp_l,G::prop_imp_l,G::fx_peak_l,G::fx_min_l,G::load_rate_l,G::vgrf_peak_r,G::vgrf_mean_r,G::brake_imp_r,G::prop_imp_r,G::fx_peak_r,G::fx_min_r,G::load_rate_r,G::vgrf_peak_asym,G::vgrf_mean_asym,G::brake_imp_asym,G::prop_imp_asym,G::fx_peak_asym,G::fx_min_asym,G::load_rate_asym
DF20L,base,DF,20,0.5457570715474209,1.370000000000001,0.0034325571877262973,0.6089850249584027,1.38,0.006865114375452901,-0.06322795341098175,-0.009999999999998899,0.9327166665112138,1.8169360710645115,0.9187450811942588,-0.17004925631862167,0.14558087956894986,0.2163797873889617,-0.36504295907965634,41.02533857579815,1.640454346876365,0.9095452126804776,-0.13145423193534014,0.1639874362021226,0.20902286296781708,-0.3215858453473132,36.742099898063984,0.17648172418814645,0.009199868513781184,-0.03859502438328152,-0.018406556633172755,0.007356924421144606,-0.04345711373234312,4.283238677734168
DF40L,base,DF,40,0.5291181364392679,0.6849999999999996,0.2804682411522753,0.6339434276206323,1.3600000000000003,0.018431809773444083,-0.10482529118136441,-0.6750000000000007,0.9823283331696119,1.611402359108781,0.8595822828091098,-0.14189055394640734,0.1681006688947103,0.2220270860637833,-0.26717780690257753,48.81068880151554,1.7126692878986454,0.9566343656584212,-0.20709103851754324,0.17904444041065587,0.222666375418669,-0.41217125382263,58.149701470803635,-0.10126692878986443,-0.09705208284931144,0.06520048457113589,-0.010943771515945583,-0.0006392893548856915,0.14499344692005245,-9.339012669288095
DF60L,base,DF,60,0.6006655574043261,0.4800000000000004,0.4026702572385536,0.6039933444259568,1.3100000000000005,0.02821373688409107,-0.0033277870216306127,-0.8300000000000001,1.0147733331642044,1.6280763069753894,0.8416337746022868,-0.19204485439055946,0.17630087944414943,0.22737585554099315,-0.3313295471093636,69.65108489879282,1.8363331877093343,0.9161874569998006,-0.17213132303043177,0.18881249481548454,0.2276103101791175,-0.4186602592107179,51.6538517547703,-0.20825688073394488,-0.07455368239751381,-0.01991353136012769,-0.012511615371335105,-0.00023445463812435396,0.08733071210135435,17.997233144022516
HF20L,base,HF,20,0.632279534109817,1.2649999999999997,0.019762845834179636,0.5790349417637272,1.2599999999999998,0.022754519151407096,0.0532445923460898,0.004999999999999893,1.061549999823075,1.5608271443133825,0.8753527953501226,-0.19462513678898669,0.20834610897043387,0.22878695208970437,-0.39992718800058247,50.38896170088939,1.5671035386631718,0.8878097372240049,-0.2018913747633567,0.19462140294160063,0.23011067423911458,-0.4222979467016164,50.66622979467124,-0.006276394349789216,-0.012456941873882355,0.00726623797437001,0.013724706028833245,-0.0013237221494102058,0.022370758701033944,-0.27726809378184925
HF40L,base,HF,40,0.6239600665557404,1.2200000000000006,0.1597352938842717,0.6206322795341098,1.2149999999999999,0.10618480734560168,0.0033277870216306127,0.005000000000000782,1.115884999814019,1.4000349497597202,0.8191495593417796,-0.1632378202389655,0.20704886235619183,0.22529925731760592,-0.2839857288481142,31.48885976408979,1.4914955584680354,0.8692349246952144,-0.18426961632444636,0.23269601131497972,0.27944954128440364,-0.4128018057375855,49.7319062181458,-0.09146060870831518,-0.050085365353434774,0.021031796085480864,-0.02564714895878789,-0.05415028396679772,0.12881607688947133,-18.243046454056014
HF60L,base,HF,60,0.5986622073578596,1.1400000000000001,0.43278357901573544,0.617056856187291,1.1899999999999995,0.09843131593990408,-0.018394648829431426,-0.04999999999999938,1.1541792292874073,1.5565603611475172,0.832869555684999,-0.15470668064365478,0.22850605960389786,0.22339740789282073,-0.3187825833697393,27.04426969564641,1.5874908985000729,0.8826714655496635,-0.20096805139070487,0.2496393431338231,0.3186922964904616,-0.4683340614533275,58.696810834426756,-0.030930537352555687,-0.049801909864664484,0.046261370747050085,-0.021133283529925245,-0.09529488859764088,0.1495514780835882,-31.652541138780347
KE20L,base,KE,20,0.6023294509151415,1.2650000000000001,0.006541666248005568,0.589018302828619,1.2649999999999997,0.003952569166836005,0.01331114808652245,4.440892098500626e-16,0.9872033331687995,1.4661861074705111,0.887812813387459,-0.12774535219163846,0.17789875631279653,0.23384592980923255,-0.20197903014416776,45.91102373671279,1.6984126984126982,0.8945148651661635,-0.1827963817589884,0.16040084330857382,0.21306684141546522,-0.33953545944371627,53.838211737295445,-0.232226590942187,-0.006702051778704532,0.055051029567349946,0.01749791300422271,0.020779088393767325,0.1375564292995485,-7.927188000582653
KE40L,base,KE,40,0.5956738768718802,1.2799999999999998,0.012352647100382294,0.627287853577371,1.2800000000000002,0.005524271723704192,-0.03161397670549082,-4.440892098500626e-16,0.9570316665071615,1.1136886558904906,0.8551332265424009,-0.10940574251492412,0.17583044677005594,0.2624523081403815,-0.33490752876073976,42.632008154944835,1.558628221930974,0.8754068819506972,-0.20414425631425223,0.16161669564583897,0.20652249890781998,-0.36547400611620795,43.86034658511816,-0.44493956604048335,-0.020273655408296287,0.09473851379932811,0.014213751124216967,0.05592980923256152,0.03056647735546819,-1.2283384301733236
KE60L,base,KE,60,0.5906821963394343,1.2600000000000002,0.006846050617389742,0.627287853577371,1.2599999999999998,0.0,-0.03660565723793674,4.440892098500626e-16,0.9776749998370541,1.172421727100626,0.8491513874275213,-0.062206276205037256,0.18443230027668164,0.28514780835881753,-0.249305373525557,41.67278287461862,1.8499927188000582,0.8900371511156073,-0.21420130040774263,0.12505010441240447,0.19614533275083734,-0.45746905490024753,46.28906363768847,-0.6775709916994321,-0.04088576368808605,0.1519950242027054,0.059382195864277176,0.08900247560798019,0.20816368137469052,-4.616280763069852
KF20L,base,KF,20,0.6472545757071547,1.2599999999999998,0.005611958576392059,0.5607321131447587,1.2599999999999998,0.007936507930209127,0.08652246256239604,0.0,1.0753733331541044,1.549817970001456,0.8890618752253147,-0.23196342064947809,0.17569877129604985,0.2203174603174603,-0.3864977428280181,53.64933741080643,1.4648026794815785,0.8794254891259492,-0.15010812950341892,0.20590128371923255,0.24586427843308578,-0.40877530216979757,57.807630697540176,0.08501529051987755,0.009636386099365457,-0.08185529114605916,-0.030202512423182698,-0.02554681811562548,0.022277559341779496,-4.158293286733745
